,DATE,CPIANN
309,1972-10-01,0.08056872037914688
310,1972-11-01,0.08254716981132076
311,1972-12-01,0.08941176470588229
312,1973-01-01,0.09601873536299751
313,1973-02-01,0.09999999999999994
314,1973-03-01,0.10138248847926265
315,1973-04-01,0.10068649885583521
316,1973-05-01,0.10706150341685657
317,1973-06-01,0.10859728506787324
318,1973-07-01,0.11538461538461525
319,1973-08-01,0.10888888888888885
320,1973-09-01,0.11946902654867253
321,1973-10-01,0.11842105263157891
322,1973-11-01,0.12200435729847497
323,1973-12-01,0.1209503239740821
324,1974-01-01,0.11752136752136753
325,1974-02-01,0.1120507399577168
326,1974-03-01,0.10460251046025106
327,1974-04-01,0.10187110187110184
328,1974-05-01,0.09259259259259259
329,1974-06-01,0.09183673469387756
330,1974-07-01,0.09533468559837735
331,1974-08-01,0.08617234468937884
332,1974-09-01,0.07905138339920949
333,1974-10-01,0.0764705882352941
334,1974-11-01,0.07378640776699023
335,1974-12-01,0.07129094412331412
336,1975-01-01,0.06692160611854685
337,1975-02-01,0.06273764258555127
338,1975-03-01,0.06060606060606066
339,1975-04-01,0.05849056603773588
340,1975-05-01,0.06214689265536718
341,1975-06-01,0.059813084112149584
342,1975-07-01,0.05555555555555555
343,1975-08-01,0.05719557195571945
344,1975-09-01,0.054945054945054944
345,1975-10-01,0.0546448087431694
346,1975-11-01,0.050632911392405146
347,1975-12-01,0.05035971223021578
348,1976-01-01,0.051971326164874654
349,1976-02-01,0.06082289803220033
350,1976-03-01,0.06428571428571431
351,1976-04-01,0.06951871657754008
352,1976-05-01,0.06737588652482278
353,1976-06-01,0.06701940035273363
354,1976-07-01,0.06666666666666661
355,1976-08-01,0.06631762652705069
356,1976-09-01,0.06423611111111104
357,1976-10-01,0.06390328151986188
358,1976-11-01,0.06712564543889843
359,1976-12-01,0.0667808219178082
360,1977-01-01,0.06814310051107325
361,1977-02-01,0.06239460370994946
362,1977-03-01,0.06375838926174492
363,1977-04-01,0.06499999999999997
364,1977-05-01,0.07142857142857138
365,1977-06-01,0.0743801652892562
366,1977-07-01,0.07730263157894741
367,1977-08-01,0.07855973813420629
368,1977-09-01,0.0848287112561175
369,1977-10-01,0.08928571428571416
370,1977-11-01,0.08870967741935484
371,1977-12-01,0.08988764044943834
372,1978-01-01,0.0925039872408293
373,1978-02-01,0.09841269841269845
374,1978-03-01,0.1025236593059938
375,1978-04-01,0.10485133020344281
376,1978-05-01,0.1069767441860466
377,1978-06-01,0.11076923076923081
378,1978-07-01,0.11450381679389313
379,1978-08-01,0.11836115326251892
380,1978-09-01,0.1187969924812031
381,1978-10-01,0.12071535022354708
382,1978-11-01,0.1259259259259259
383,1978-12-01,0.1325478645066274
384,1979-01-01,0.1386861313868613
385,1979-02-01,0.14161849710982655
386,1979-03-01,0.1459227467811157
387,1979-04-01,0.1458923512747877
388,1979-05-01,0.14425770308123245
389,1979-06-01,0.1426592797783933
390,1979-07-01,0.13150684931506842
391,1979-08-01,0.12890094979647218
392,1979-09-01,0.12768817204301075
393,1979-10-01,0.12632978723404256
394,1979-11-01,0.12631578947368413
395,1979-12-01,0.1235370611183355
396,1980-01-01,0.11794871794871799
397,1980-02-01,0.11392405063291139
398,1980-03-01,0.10611735330836455
399,1980-04-01,0.1013597033374535
400,1980-05-01,0.09791921664626682
401,1980-06-01,0.09696969696969697
402,1980-07-01,0.10774818401937053
403,1980-08-01,0.10817307692307691
404,1980-09-01,0.10965435041716315
405,1980-10-01,0.10271546635183001
406,1980-11-01,0.09579439252336452
407,1980-12-01,0.08912037037037024
408,1981-01-01,0.08256880733944957
409,1981-02-01,0.07613636363636367
410,1981-03-01,0.06884875846501139
411,1981-04-01,0.06621773288439962
412,1981-05-01,0.06911928651059089
413,1981-06-01,0.0718232044198895
414,1981-07-01,0.06557377049180328
415,1981-08-01,0.059652928416485895
416,1981-09-01,0.04940923737916229
417,1981-10-01,0.050321199143468824
418,1981-11-01,0.04477611940298511
419,1981-12-01,0.03825717321997884
420,1982-01-01,0.037076271186440676
421,1982-02-01,0.03484688489968318
422,1982-03-01,0.03590285110876443
423,1982-04-01,0.03999999999999997
424,1982-05-01,0.0344108446298227
425,1982-06-01,0.02474226804123717
426,1982-07-01,0.02358974358974356
427,1982-08-01,0.024564994882292645
428,1982-09-01,0.027635619242579353
429,1982-10-01,0.027522935779816543
430,1982-11-01,0.03163265306122443
431,1982-12-01,0.03787103377686799
432,1983-01-01,0.04290091930541357
433,1983-02-01,0.04693877551020403
434,1983-03-01,0.04892966360856281
435,1983-04-01,0.04554655870445344
436,1983-05-01,0.043346774193548356
437,1983-06-01,0.04325955734406436
438,1983-07-01,0.04308617234468935
